GameKey,PlayId,GSISID,Time,x,y,o
402,1314,30694,17:55:16.0,49.11,54.22,30.97
402,1314,32054,17:55:17.1,50.79,54.20,286.1
402,1314,26158,17:55:17.1,49.45,54.09,299.6
402,1314,26995,17:55:17.2,52.75,54.25,217.8
402,1314,32054,17:55:17.2,50.83,54.29,288.6
402,1314,26158,17:55:17.2,49.54,54.22,297.5
402,1314,26995,17:55:17.3,52.77,54.29,220.9
402,1314,27103,17:55:17.4,73.26,-0.51,205.8
402,1314,27103,17:55:17.5,73.23,-0.66,198.8
402,1314,27103,17:55:17.6,73.19,-0.83,191.5
402,1314,27103,17:55:17.7,73.16,-0.97,184.6
402,1314,27245,17:55:18.4,42.43,-0.58,77.12
402,1314,27245,17:55:18.5,42.45,-0.74,74.33
402,1314,27245,17:55:18.6,42.49,-0.88,72.02
402,1314,31380,17:55:19.0,49.34,-0.56,25.77
402,1314,31380,17:55:19.1,49.49,-0.64,26.14
402,1314,31380,17:55:19.2,49.63,-0.73,26.48
402,1314,31380,17:55:19.3,49.77,-0.77,26.95
402,1314,31380,17:55:19.4,49.90,-0.89,27.62
402,1314,31380,17:55:19.5,50.04,-0.99,28.55
402,1314,27662,17:55:20.2,44.25,-0.51,19.11
402,1314,27662,17:55:20.3,44.38,-0.58,19.15
402,1314,27662,17:55:20.4,44.5,-0.64,19.22
402,1314,27662,17:55:20.5,44.61,-0.69,20.0
402,1314,27720,17:55:20.5,55.02,-0.51,18.93
402,1314,27662,17:55:20.6,44.72,-0.75,20.98
402,1314,27720,17:55:20.6,55.18,-0.56,19.05
402,1314,32965,17:55:16.1,50.5,53.97,334.7
402,1314,30694,17:55:16.1,49.27,54.27,33.31
402,1314,32965,17:55:16.2,50.65,54.06,336.3
402,1314,32965,17:55:16.3,50.81,54.13,337.6
402,1314,26995,17:55:16.4,52.77,53.84,191.6
402,1314,32965,17:55:16.4,50.97,54.22,338.5
402,1314,30382,17:55:16.5,46.43,-0.50,20.60
402,1314,26995,17:55:16.5,52.75,53.88,195.4
402,1314,32965,17:55:16.5,51.13,54.31,339.0
402,1314,30382,17:55:16.6,46.58,-0.60,20.0
402,1314,26995,17:55:16.6,52.74,53.93,198.9
402,1314,30382,17:55:16.7,46.72,-0.69,19.17
402,1314,26995,17:55:16.7,52.72,53.99,202.2
402,1314,30382,17:55:16.8,46.84,-0.77,18.19
402,1314,26995,17:55:16.8,52.72,54.04,205.4
402,1314,32054,17:55:16.8,50.72,53.91,280.4
402,1314,26995,17:55:16.9,52.72,54.09,208.5
402,1314,32054,17:55:16.9,50.72,54.02,282.4
402,1314,30382,17:55:16.9,46.97,-0.87,17.36
402,1314,30382,17:55:17.0,47.09,-0.97,16.88
402,1314,26995,17:55:17.0,52.72,54.15,211.5
402,1314,32054,17:55:17.0,50.75,54.11,284.1
402,1314,26158,17:55:17.0,49.38,53.95,301.7
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
